spot_id,name,lat,lon,subregion,relivable_rating
6140d3351b36d74adc7ffc6d,Peel Beach,54.22475,-4.69532,West Coast and Isle of Man,0
6140d077cdf10f738a53340c,Port Erin,54.0862,-4.7601,West Coast and Isle of Man,0
6140d21bfe354c055f1abffa,Rossall Point,53.9246,-3.0408,West Coast and Isle of Man,0
613fc7c6c41c226cc2bdbb47,S*** Pipe,54.07,-4.731,West Coast and Isle of Man,0
613fc71ee22bc76e93ddc007,Silecroft,54.2167,-3.3514,West Coast and Isle of Man,0
613fcbc2dbfb963cf4604068,St Bees,54.4903,-3.6065,West Coast and Isle of Man,0
6140cfe08c7d86d8f879b1ef,The Ayre,54.4069,-4.4136,West Coast and Isle of Man,0
613fc89ddd5942f966d3dd8c,The Edge,54.0669,-4.7348,West Coast and Isle of Man,0
613fc901edea396232f95172,The Point,54.0667,-4.7368,West Coast and Isle of Man,0
613fc83eba5f90c218099d1b,drivers,54.0681,-4.7335,West Coast and Isle of Man,0
61bd0a2ad7a7347c671c24f3,Carbis Bay,50.199586,-5.46468,West Cornwall,0
584204204e65fad6a77090c1,Chapel Porth,50.30227930111261,-5.23793,West Cornwall,0
61392b2e19d668119a27005c,Coverack,50.024247,-5.09649,West Cornwall,0
584204214e65fad6a7709d2a,Godrevy,50.2304,-5.3946,West Cornwall,4
584204204e65fad6a77090bf,Gwenver,50.09,-5.691,West Cornwall,0
5842041f4e65fad6a7708c95,Gwithian,50.224940120492306,-5.39939,West Cornwall,4
604b97ba2aecfaefc4e3085c,Hayle Rivermouth,50.2029,-5.4348,West Cornwall,0
61392a6ab1e9d2464de1cd6b,Kennack Sands,50.004207,-5.16268,West Cornwall,0
6042629f451c8835aa72b7f6,Marazion,50.1183,-5.4836,West Cornwall,0
61bd0cbfc76742be1f419517,Mexico Towans,50.20875,-5.41624,West Cornwall,0
61392d046b2f9b9daf9c47e2,Mullion Cove,50.014422,-5.259,West Cornwall,0
613927a4208c69f7fad50eeb,Penzance,50.12238,-5.52672,West Cornwall,0
613904450ff37119d27d029b,Perranuthnoe,50.1107,-5.4425,West Cornwall,0
6139244dcd0e0e1d3a25d045,Poldhu Cove,50.0332,-5.2652,West Cornwall,0
6139269e69981d4386cf134f,Porthcurno,50.042692,-5.64946,West Cornwall,0
61bd094c37bb4a7330aba226,Porthgwidden Beach,50.217324,-5.47538,West Cornwall,0
61bd0b08b0079a147f3caf60,Porthkidney Beach,50.198447,-5.44317,West Cornwall,0
5842041f4e65fad6a7708c9b,Porthleven,50.08194444,-5.32111,West Cornwall,0
5842041f4e65fad6a7708c96,Porthmeor,50.2166643894,-5.48326,West Cornwall,0
61392e286b2f9b4cda9c47e8,Porthoustock,50.055642,-5.06368,West Cornwall,0
5842041f4e65fad6a7708c98,Porthtowan,50.288859416902646,-5.24643,West Cornwall,4
584204204e65fad6a77090c2,Portreath,50.263,-5.294,West Cornwall,4
5842041f4e65fad6a7708c9a,Praa Sands,50.10222222,-5.38833,West Cornwall,5
5842041f4e65fad6a7708c97,Sennen,50.082260215669976,-5.69518,West Cornwall,5
61392f9a2ec3df0722c5d226,Tresco,49.9738,-6.334,West Cornwall,0
